year,adm_cd,adm_nm,cnt
2019,25010530,효동,9757
2019,25010550,판암1동,5225
2019,25010560,판암2동,4756
2019,25010570,용운동,9096
2019,25010600,자양동,7840
2019,25010630,가양1동,6358
2019,25010640,가양2동,8828
2019,25010650,용전동,10296
2019,25010680,홍도동,5518
2019,25010730,대청동,972
2019,25010750,산내동,7826
2019,25010760,중앙동,2344
2019,25010770,신인동,4979
2019,25010780,대동,5883
2019,25010790,성남동,5041
2019,25010800,삼성동,5999
2019,25020510,은행선화동,8488
2019,25020530,목동,4853
2019,25020540,중촌동,5905
2019,25020550,대흥동,6071
2019,25020560,문창동,2138
2019,25020570,석교동,6616
2019,25020580,대사동,2604
2019,25020590,부사동,2866
2019,25020600,용두동,4603
2019,25020620,오류동,4288
2019,25020630,태평1동,4899
2019,25020640,태평2동,9281
2019,25020650,유천1동,3064
2019,25020660,유천2동,5591
2019,25020670,문화1동,8284
2019,25020680,문화2동,5507
2019,25020690,산성동,11048
2019,25030510,복수동,8495
2019,25030511,가수원동,4468
2019,25030512,도안동,10526
2019,25030520,도마1동,8210
2019,25030530,도마2동,8857
2019,25030540,정림동,6314
2019,25030550,변동,6767
2019,25030560,용문동,6589
2019,25030570,탄방동,12502
2019,25030590,둔산1동,5645
2019,25030600,둔산2동,13811
2019,25030610,괴정동,9803
2019,25030620,가장동,4926
2019,25030630,내동,8871
2019,25030640,갈마1동,10071
2019,25030650,갈마2동,11621
2019,25030660,월평1동,5875
2019,25030670,월평2동,6785
2019,25030680,월평3동,7451
2019,25030690,만년동,5387
2019,25030710,기성동,1370
2019,25030720,관저1동,6243
2019,25030730,관저2동,18747
2019,25030740,둔산3동,7536
2019,25040540,온천2동,20107
2019,25040550,신성동,10221
2019,25040570,전민동,10488
2019,25040590,노은1동,8354
2019,25040610,구즉동,11285
2019,25040630,관평동,10265
2019,25040640,온천1동,14377
2019,25040660,노은2동,9034
2019,25040670,노은3동,12972
2019,25040680,진잠동,10735
2019,25040690,학하동,6833
2019,25040700,상대동,6418
2019,25040710,원신흥동,12083
2019,25050510,오정동,8214
2019,25050520,대화동,3109
2019,25050530,회덕동,5710
2019,25050540,비래동,6508
2019,25050550,중리동,9113
2019,25050560,법1동,4351
2019,25050570,법2동,6602
2019,25050580,신탄진동,4765
2019,25050590,석봉동,5245
2019,25050600,덕암동,5836
2019,25050610,목상동,2925
2019,25050620,송촌동,9799
2020,25010530,효동,9434
2020,25010550,판암1동,5338
2020,25010560,판암2동,4875
2020,25010570,용운동,9267
2020,25010600,자양동,7606
2020,25010630,가양1동,6460
2020,25010640,가양2동,8850
2020,25010650,용전동,11188
2020,25010680,홍도동,6250
2020,25010730,대청동,978
2020,25010750,산내동,7859
2020,25010760,중앙동,2300
2020,25010770,신인동,5079
2020,25010780,대동,5961
2020,25010790,성남동,5132
2020,25010800,삼성동,6091
2020,25020510,은행선화동,8249
2020,25020530,목동,4861
2020,25020540,중촌동,5922
2020,25020550,대흥동,6392
2020,25020560,문창동,2212
2020,25020570,석교동,6761
2020,25020580,대사동,2788
2020,25020590,부사동,2925
2020,25020600,용두동,4701
2020,25020620,오류동,4406
2020,25020630,태평1동,4904
2020,25020640,태평2동,9278
2020,25020650,유천1동,3162
2020,25020660,유천2동,5823
2020,25020670,문화1동,8405
2020,25020680,문화2동,5591
2020,25020690,산성동,11307
2020,25030510,복수동,8847
2020,25030511,가수원동,4511
2020,25030512,도안동,11061
2020,25030520,도마1동,8510
2020,25030530,도마2동,9133
2020,25030540,정림동,6406
2020,25030550,변동,6866
2020,25030560,용문동,6762
2020,25030570,탄방동,13536
2020,25030590,둔산1동,5661
2020,25030600,둔산2동,13946
2020,25030610,괴정동,10496
2020,25030620,가장동,4977
2020,25030630,내동,9012
2020,25030640,갈마1동,10615
2020,25030650,갈마2동,12117
2020,25030660,월평1동,6303
2020,25030670,월평2동,6842
2020,25030680,월평3동,7460
2020,25030690,만년동,5569
2020,25030710,기성동,1413
2020,25030720,관저1동,6402
2020,25030730,관저2동,19160
2020,25030740,둔산3동,7691
2020,25040540,온천2동,21931
2020,25040550,신성동,12163
2020,25040570,전민동,11216
2020,25040590,노은1동,9025
2020,25040610,구즉동,12020
2020,25040630,관평동,10698
2020,25040640,온천1동,16820
2020,25040660,노은2동,9120
2020,25040670,노은3동,13755
