year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,25010530,효동,cp_bnu_003,제조업,82
2019,25010530,효동,cp_bnu_006,건설업,34
2019,25010530,효동,cp_bnu_007,도매 및 소매업,396
2019,25010530,효동,cp_bnu_008,운수 및 창고업,9
2019,25010530,효동,cp_bnu_009,숙박 및 음식점업,346
2019,25010530,효동,cp_bnu_010,정보통신업,5
2019,25010530,효동,cp_bnu_011,금융 및 보험업,12
2019,25010530,효동,cp_bnu_012,부동산업,70
2019,25010530,효동,cp_bnu_013,"전문, 과학 및 기술 서비스업",16
2019,25010530,효동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",12
2019,25010530,효동,cp_bnu_016,교육 서비스업,149
2019,25010530,효동,cp_bnu_017,보건업 및 사회복지 서비스업,96
2019,25010530,효동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",72
2019,25010530,효동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",217
2019,25010550,판암1동,cp_bnu_003,제조업,42
2019,25010550,판암1동,cp_bnu_006,건설업,19
2019,25010550,판암1동,cp_bnu_007,도매 및 소매업,134
2019,25010550,판암1동,cp_bnu_008,운수 및 창고업,6
2019,25010550,판암1동,cp_bnu_009,숙박 및 음식점업,78
2019,25010550,판암1동,cp_bnu_012,부동산업,25
2019,25010550,판암1동,cp_bnu_016,교육 서비스업,31
2019,25010550,판암1동,cp_bnu_017,보건업 및 사회복지 서비스업,51
2019,25010550,판암1동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",14
2019,25010550,판암1동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",87
2019,25010560,판암2동,cp_bnu_003,제조업,27
2019,25010560,판암2동,cp_bnu_006,건설업,5
2019,25010560,판암2동,cp_bnu_007,도매 및 소매업,71
2019,25010560,판암2동,cp_bnu_009,숙박 및 음식점업,39
2019,25010560,판암2동,cp_bnu_012,부동산업,8
2019,25010560,판암2동,cp_bnu_016,교육 서비스업,6
2019,25010560,판암2동,cp_bnu_017,보건업 및 사회복지 서비스업,23
2019,25010560,판암2동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",12
2019,25010560,판암2동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",23
2019,25010570,용운동,cp_bnu_003,제조업,50
2019,25010570,용운동,cp_bnu_006,건설업,37
2019,25010570,용운동,cp_bnu_007,도매 및 소매업,222
2019,25010570,용운동,cp_bnu_008,운수 및 창고업,9
2019,25010570,용운동,cp_bnu_009,숙박 및 음식점업,279
2019,25010570,용운동,cp_bnu_011,금융 및 보험업,7
2019,25010570,용운동,cp_bnu_012,부동산업,45
2019,25010570,용운동,cp_bnu_013,"전문, 과학 및 기술 서비스업",13
2019,25010570,용운동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",18
2019,25010570,용운동,cp_bnu_016,교육 서비스업,60
2019,25010570,용운동,cp_bnu_017,보건업 및 사회복지 서비스업,47
2019,25010570,용운동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",50
2019,25010570,용운동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",169
2019,25010600,자양동,cp_bnu_003,제조업,19
2019,25010600,자양동,cp_bnu_006,건설업,20
2019,25010600,자양동,cp_bnu_007,도매 및 소매업,125
2019,25010600,자양동,cp_bnu_008,운수 및 창고업,5
2019,25010600,자양동,cp_bnu_009,숙박 및 음식점업,278
2019,25010600,자양동,cp_bnu_010,정보통신업,14
2019,25010600,자양동,cp_bnu_011,금융 및 보험업,5
2019,25010600,자양동,cp_bnu_012,부동산업,40
2019,25010600,자양동,cp_bnu_013,"전문, 과학 및 기술 서비스업",14
2019,25010600,자양동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",13
2019,25010600,자양동,cp_bnu_016,교육 서비스업,34
2019,25010600,자양동,cp_bnu_017,보건업 및 사회복지 서비스업,17
2019,25010600,자양동,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",45
2019,25010600,자양동,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",122
2019,25010630,가양1동,cp_bnu_003,제조업,70
2019,25010630,가양1동,cp_bnu_006,건설업,65
2019,25010630,가양1동,cp_bnu_007,도매 및 소매업,232
2019,25010630,가양1동,cp_bnu_008,운수 및 창고업,7
2019,25010630,가양1동,cp_bnu_009,숙박 및 음식점업,196
2019,25010630,가양1동,cp_bnu_011,금융 및 보험업,5
2019,25010630,가양1동,cp_bnu_012,부동산업,35
2019,25010630,가양1동,cp_bnu_013,"전문, 과학 및 기술 서비스업",12
2019,25010630,가양1동,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",22
2019,25010630,가양1동,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",5
2019,25010630,가양1동,cp_bnu_016,교육 서비스업,24
2019,25010630,가양1동,cp_bnu_017,보건업 및 사회복지 서비스업,34
