year,adm_cd,adm_nm,cnt
2019,25010530,효동,26856
2019,25010550,판암1동,12685
2019,25010560,판암2동,8702
2019,25010570,용운동,21155
2019,25010600,자양동,16938
2019,25010630,가양1동,14342
2019,25010640,가양2동,20651
2019,25010650,용전동,20808
2019,25010680,홍도동,11967
2019,25010730,대청동,2621
2019,25010750,산내동,21725
2019,25010760,중앙동,4651
2019,25010770,신인동,12023
2019,25010780,대동,15183
2019,25010790,성남동,12402
2019,25010800,삼성동,14564
2019,25020510,은행선화동,17137
2019,25020530,목동,14873
2019,25020540,중촌동,13662
2019,25020550,대흥동,13981
2019,25020560,문창동,4799
2019,25020570,석교동,15754
2019,25020580,대사동,5385
2019,25020590,부사동,6693
2019,25020600,용두동,9981
2019,25020620,오류동,10103
2019,25020630,태평1동,13648
2019,25020640,태평2동,26051
2019,25020650,유천1동,6445
2019,25020660,유천2동,13548
2019,25020670,문화1동,22471
2019,25020680,문화2동,12988
2019,25020690,산성동,27476
2019,25030510,복수동,23227
2019,25030511,가수원동,11304
2019,25030512,도안동,30563
2019,25030520,도마1동,16725
2019,25030530,도마2동,21552
2019,25030540,정림동,16545
2019,25030550,변동,16189
2019,25030560,용문동,12934
2019,25030570,탄방동,25537
2019,25030590,둔산1동,16496
2019,25030600,둔산2동,36224
2019,25030610,괴정동,19207
2019,25030620,가장동,12515
2019,25030630,내동,24022
2019,25030640,갈마1동,21491
2019,25030650,갈마2동,24909
2019,25030660,월평1동,10931
2019,25030670,월평2동,14954
2019,25030680,월평3동,21663
2019,25030690,만년동,13087
2019,25030710,기성동,3941
2019,25030720,관저1동,16967
2019,25030730,관저2동,50448
2019,25030740,둔산3동,19489
2019,25040540,온천2동,57750
2019,25040550,신성동,27459
2019,25040570,전민동,26526
2019,25040590,노은1동,21691
2019,25040610,구즉동,28208
2019,25040630,관평동,28931
2019,25040640,온천1동,25638
2019,25040660,노은2동,25263
2019,25040670,노은3동,35222
2019,25040680,진잠동,26165
2019,25040690,학하동,17693
2019,25040700,상대동,18123
2019,25040710,원신흥동,27875
2019,25050510,오정동,18375
2019,25050520,대화동,7730
2019,25050530,회덕동,14103
2019,25050540,비래동,17017
2019,25050550,중리동,19974
