year,adm_cd,adm_nm,cnt
2019,29010110,조치원읍,20455
2019,29010311,연기면,1499
2019,29010312,연동면,1371
2019,29010330,부강면,3006
2019,29010340,금남면,3956
2019,29010350,장군면,4440
2019,29010360,연서면,3443
2019,29010370,전의면,2449
2019,29010380,전동면,1379
2019,29010390,소정면,1052
2019,29010512,해밀동,3
2019,29010513,반곡동,3500
2019,29010514,도담동,9434
2019,29010515,어진동,2987
2019,29010521,새롬동,9028
2019,29010522,나성동,1910
2019,29010560,종촌동,10310
2019,29010590,아름동,7388
2019,29010600,고운동,11097
2019,29010610,한솔동,6046
2019,29010640,대평동,3803
2019,29010660,보람동,6311
2019,29010680,다정동,8419
2019,29010710,소담동,6378
2020,29010110,조치원읍,21684
2020,29010311,연기면,1941
2020,29010312,연동면,1438
2020,29010330,부강면,3220
2020,29010340,금남면,4278
2020,29010350,장군면,4996
2020,29010360,연서면,3621
2020,29010370,전의면,2568
2020,29010380,전동면,1349
2020,29010390,소정면,1056
2020,29010512,해밀동,1568
2020,29010513,반곡동,4736
2020,29010514,도담동,9577
2020,29010515,어진동,3213
2020,29010521,새롬동,9364
2020,29010522,나성동,2213
2020,29010560,종촌동,10474
2020,29010590,아름동,7532
2020,29010600,고운동,11638
2020,29010610,한솔동,6242
2020,29010640,대평동,4016
2020,29010660,보람동,6798
2020,29010680,다정동,9059
2020,29010710,소담동,6525
2021,29010110,조치원읍,21147
2021,29010311,연기면,1663
2021,29010312,연동면,1442
2021,29010330,부강면,3119
2021,29010340,금남면,4246
2021,29010350,장군면,4747
2021,29010360,연서면,3492
2021,29010370,전의면,2504
2021,29010380,전동면,1339
2021,29010390,소정면,1021
2021,29010512,해밀동,3002
2021,29010513,반곡동,5488
2021,29010514,도담동,9621
2021,29010515,어진동,3615
2021,29010521,새롬동,9269
2021,29010522,나성동,4977
2021,29010560,종촌동,10564
2021,29010590,아름동,7618
2021,29010600,고운동,11632
2021,29010610,한솔동,6180
2021,29010640,대평동,4249
2021,29010660,보람동,6761
2021,29010680,다정동,10406
2021,29010710,소담동,7193
2022,29010110,조치원읍,21725
2022,29010311,연기면,1880
2022,29010312,연동면,1426
2022,29010330,부강면,3195
2022,29010340,금남면,4210
2022,29010350,장군면,4896
2022,29010360,연서면,3599
2022,29010370,전의면,2601
2022,29010380,전동면,1319
2022,29010390,소정면,1013
2022,29010512,해밀동,3026
2022,29010513,반곡동,10318
2022,29010514,도담동,9693
2022,29010515,어진동,4501
2022,29010521,새롬동,9310
2022,29010522,나성동,5796
2022,29010560,종촌동,10468
2022,29010590,아름동,7658
2022,29010600,고운동,11910
2022,29010610,한솔동,6094
2022,29010640,대평동,4223
2022,29010660,보람동,6725
2022,29010680,다정동,10441
2022,29010710,소담동,7992
