year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,29010110,조치원읍,cp_bnu_003,제조업,197
2019,29010110,조치원읍,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",8
2019,29010110,조치원읍,cp_bnu_006,건설업,132
2019,29010110,조치원읍,cp_bnu_007,도매 및 소매업,966
2019,29010110,조치원읍,cp_bnu_008,운수 및 창고업,24
2019,29010110,조치원읍,cp_bnu_009,숙박 및 음식점업,934
2019,29010110,조치원읍,cp_bnu_010,정보통신업,33
2019,29010110,조치원읍,cp_bnu_011,금융 및 보험업,35
2019,29010110,조치원읍,cp_bnu_012,부동산업,133
2019,29010110,조치원읍,cp_bnu_013,"전문, 과학 및 기술 서비스업",128
2019,29010110,조치원읍,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",87
2019,29010110,조치원읍,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",14
2019,29010110,조치원읍,cp_bnu_016,교육 서비스업,148
2019,29010110,조치원읍,cp_bnu_017,보건업 및 사회복지 서비스업,154
2019,29010110,조치원읍,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",165
2019,29010110,조치원읍,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",451
2019,29010311,연기면,cp_bnu_003,제조업,40
2019,29010311,연기면,cp_bnu_006,건설업,19
2019,29010311,연기면,cp_bnu_007,도매 및 소매업,45
2019,29010311,연기면,cp_bnu_008,운수 및 창고업,8
2019,29010311,연기면,cp_bnu_009,숙박 및 음식점업,42
2019,29010311,연기면,cp_bnu_012,부동산업,33
2019,29010311,연기면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",6
2019,29010311,연기면,cp_bnu_016,교육 서비스업,5
2019,29010311,연기면,cp_bnu_017,보건업 및 사회복지 서비스업,5
2019,29010311,연기면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",7
2019,29010311,연기면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",30
2019,29010312,연동면,cp_bnu_001,"농업, 임업 및 어업",6
2019,29010312,연동면,cp_bnu_003,제조업,89
2019,29010312,연동면,cp_bnu_006,건설업,14
2019,29010312,연동면,cp_bnu_007,도매 및 소매업,60
2019,29010312,연동면,cp_bnu_008,운수 및 창고업,24
2019,29010312,연동면,cp_bnu_009,숙박 및 음식점업,47
2019,29010312,연동면,cp_bnu_010,정보통신업,5
2019,29010312,연동면,cp_bnu_012,부동산업,31
2019,29010312,연동면,cp_bnu_013,"전문, 과학 및 기술 서비스업",7
2019,29010312,연동면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",6
2019,29010312,연동면,cp_bnu_017,보건업 및 사회복지 서비스업,6
2019,29010312,연동면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",24
2019,29010330,부강면,cp_bnu_003,제조업,167
2019,29010330,부강면,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",15
2019,29010330,부강면,cp_bnu_006,건설업,38
2019,29010330,부강면,cp_bnu_007,도매 및 소매업,160
2019,29010330,부강면,cp_bnu_008,운수 및 창고업,40
2019,29010330,부강면,cp_bnu_009,숙박 및 음식점업,185
2019,29010330,부강면,cp_bnu_012,부동산업,40
2019,29010330,부강면,cp_bnu_013,"전문, 과학 및 기술 서비스업",8
2019,29010330,부강면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",25
2019,29010330,부강면,cp_bnu_016,교육 서비스업,12
2019,29010330,부강면,cp_bnu_017,보건업 및 사회복지 서비스업,20
2019,29010330,부강면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",18
2019,29010330,부강면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",73
2019,29010340,금남면,cp_bnu_003,제조업,73
2019,29010340,금남면,cp_bnu_006,건설업,55
2019,29010340,금남면,cp_bnu_007,도매 및 소매업,167
2019,29010340,금남면,cp_bnu_008,운수 및 창고업,10
2019,29010340,금남면,cp_bnu_009,숙박 및 음식점업,189
2019,29010340,금남면,cp_bnu_010,정보통신업,10
2019,29010340,금남면,cp_bnu_011,금융 및 보험업,6
2019,29010340,금남면,cp_bnu_012,부동산업,66
2019,29010340,금남면,cp_bnu_013,"전문, 과학 및 기술 서비스업",17
2019,29010340,금남면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",28
2019,29010340,금남면,cp_bnu_016,교육 서비스업,12
2019,29010340,금남면,cp_bnu_017,보건업 및 사회복지 서비스업,21
2019,29010340,금남면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",19
2019,29010340,금남면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",88
2019,29010350,장군면,cp_bnu_003,제조업,63
2019,29010350,장군면,cp_bnu_006,건설업,35
2019,29010350,장군면,cp_bnu_007,도매 및 소매업,150
2019,29010350,장군면,cp_bnu_008,운수 및 창고업,5
2019,29010350,장군면,cp_bnu_009,숙박 및 음식점업,140
2019,29010350,장군면,cp_bnu_010,정보통신업,18
2019,29010350,장군면,cp_bnu_011,금융 및 보험업,6
2019,29010350,장군면,cp_bnu_012,부동산업,70
2019,29010350,장군면,cp_bnu_013,"전문, 과학 및 기술 서비스업",18
2019,29010350,장군면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",15
2019,29010350,장군면,cp_bnu_016,교육 서비스업,18
2019,29010350,장군면,cp_bnu_017,보건업 및 사회복지 서비스업,14
2019,29010350,장군면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",20
2019,29010350,장군면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",60
2019,29010360,연서면,cp_bnu_003,제조업,131
2019,29010360,연서면,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",8
2019,29010360,연서면,cp_bnu_006,건설업,73
2019,29010360,연서면,cp_bnu_007,도매 및 소매업,177
2019,29010360,연서면,cp_bnu_008,운수 및 창고업,11
2019,29010360,연서면,cp_bnu_009,숙박 및 음식점업,112
2019,29010360,연서면,cp_bnu_010,정보통신업,9
2019,29010360,연서면,cp_bnu_012,부동산업,56
2019,29010360,연서면,cp_bnu_013,"전문, 과학 및 기술 서비스업",12
2019,29010360,연서면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",19
2019,29010360,연서면,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",6
2019,29010360,연서면,cp_bnu_016,교육 서비스업,20
2019,29010360,연서면,cp_bnu_017,보건업 및 사회복지 서비스업,22
2019,29010360,연서면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",14
2019,29010360,연서면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",72
2019,29010370,전의면,cp_bnu_003,제조업,162
2019,29010370,전의면,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",8
2019,29010370,전의면,cp_bnu_006,건설업,40
2019,29010370,전의면,cp_bnu_007,도매 및 소매업,121
2019,29010370,전의면,cp_bnu_008,운수 및 창고업,13
2019,29010370,전의면,cp_bnu_009,숙박 및 음식점업,113
2019,29010370,전의면,cp_bnu_012,부동산업,23
2019,29010370,전의면,cp_bnu_013,"전문, 과학 및 기술 서비스업",9
2019,29010370,전의면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",21
2019,29010370,전의면,cp_bnu_016,교육 서비스업,14
2019,29010370,전의면,cp_bnu_017,보건업 및 사회복지 서비스업,19
2019,29010370,전의면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",19
2019,29010370,전의면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",51
2019,29010380,전동면,cp_bnu_001,"농업, 임업 및 어업",5
2019,29010380,전동면,cp_bnu_003,제조업,126
2019,29010380,전동면,cp_bnu_005,"수도, 하수 및 폐기물처리, 원료 재생업",8
2019,29010380,전동면,cp_bnu_006,건설업,23
2019,29010380,전동면,cp_bnu_007,도매 및 소매업,55
2019,29010380,전동면,cp_bnu_009,숙박 및 음식점업,37
2019,29010380,전동면,cp_bnu_012,부동산업,10
