year,adm_cd,adm_nm,cnt
2019,29010110,조치원읍,50338
2019,29010311,연기면,2801
2019,29010312,연동면,3573
2019,29010330,부강면,6553
2019,29010340,금남면,8812
2019,29010350,장군면,8640
2019,29010360,연서면,7885
2019,29010370,전의면,6634
2019,29010380,전동면,3791
2019,29010390,소정면,2709
2019,29010512,해밀동,5
2019,29010513,반곡동,8676
2019,29010514,도담동,24586
2019,29010515,어진동,6146
2019,29010521,새롬동,24504
2019,29010522,나성동,2334
2019,29010560,종촌동,28285
2019,29010590,아름동,23028
2019,29010600,고운동,32056
2019,29010610,한솔동,18270
2019,29010640,대평동,9966
2019,29010660,보람동,17335
2019,29010680,다정동,23389
2019,29010710,소담동,17820
2020,29010110,조치원읍,48736
2020,29010311,연기면,3214
2020,29010312,연동면,3568
2020,29010330,부강면,6685
2020,29010340,금남면,8996
2020,29010350,장군면,9138
2020,29010360,연서면,7966
2020,29010370,전의면,6244
2020,29010380,전동면,3919
2020,29010390,소정면,2644
2020,29010512,해밀동,4175
2020,29010513,반곡동,12227
2020,29010514,도담동,24821
2020,29010515,어진동,6173
2020,29010521,새롬동,25731
2020,29010522,나성동,2786
2020,29010560,종촌동,28586
2020,29010590,아름동,23277
2020,29010600,고운동,33513
2020,29010610,한솔동,18557
2020,29010640,대평동,10523
2020,29010660,보람동,18791
2020,29010680,다정동,25278
2020,29010710,소담동,18385
2021,29010110,조치원읍,47774
2021,29010311,연기면,2926
2021,29010312,연동면,3331
2021,29010330,부강면,6433
2021,29010340,금남면,8877
2021,29010350,장군면,9301
2021,29010360,연서면,7580
2021,29010370,전의면,5931
2021,29010380,전동면,3458
2021,29010390,소정면,2459
2021,29010512,해밀동,8227
2021,29010513,반곡동,13522
2021,29010514,도담동,24400
2021,29010515,어진동,6961
2021,29010521,새롬동,25200
2021,29010522,나성동,10501
2021,29010560,종촌동,28350
2021,29010590,아름동,22928
2021,29010600,고운동,33265
2021,29010610,한솔동,17959
2021,29010640,대평동,10909
2021,29010660,보람동,18516
2021,29010680,다정동,27477
2021,29010710,소담동,19942
2022,29010110,조치원읍,49486
2022,29010311,연기면,3024
2022,29010312,연동면,3040
2022,29010330,부강면,6344
2022,29010340,금남면,8616
2022,29010350,장군면,9425
2022,29010360,연서면,7570
2022,29010370,전의면,5989
2022,29010380,전동면,3328
2022,29010390,소정면,2396
2022,29010512,해밀동,8447
2022,29010513,반곡동,24953
2022,29010514,도담동,24166
2022,29010515,어진동,9479
2022,29010521,새롬동,25030
2022,29010522,나성동,12926
2022,29010560,종촌동,27503
2022,29010590,아름동,22877
2022,29010600,고운동,33742
2022,29010610,한솔동,17439
2022,29010640,대평동,10737
2022,29010660,보람동,18162
2022,29010680,다정동,27249
2022,29010710,소담동,20661
