gbn,gid,geometry,zoneName,공동주택,공원,기타,녹지,단독주택,도로,상업,하천,거주인구,사업체당종사자수,ALL_AADT,유동인구,가중혼잡도,녹지면적,예측_탄소배출량(통합),예측_탄소배출량(수송),예측_탄소흡수량
경기도 광명시,다사425348,"POLYGON ((126.85025248735744 37.41054410404104, 126.85024470226634 37.41144542620823, 126.85137464520233 37.411451630885544, 126.85138241675726 37.41055030851735, 126.85025248735744 37.41054410404104))",광명시흥 공공주택지구,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,131021.0,4.6,12.0,1417.8,0.0,1613.63,3.67
경기도 시흥시,다사402386,"POLYGON ((126.82395629054952 37.44464838601912, 126.82394818041855 37.445549698174496, 126.82507863003575 37.44555615915433, 126.82508672660795 37.444654846789724, 126.82395629054952 37.44464838601912))",광명시흥 공공주택지구,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,131021.0,4.6,12.0,1417.8,0.0,1613.63,3.67
경기도 광명시,다사426404,"POLYGON ((126.85094667628078 37.46102414683978, 126.85093888532084 37.46192546141473, 126.85206958759258 37.461931666537865, 126.85207736498253 37.461030351762, 126.85094667628078 37.46102414683978))",광명시흥 공공주택지구,0.0,0.0,0.7630686730485122,0.1367675406366831,0.0,0.10016378631480452,0.0,0.0,0.0,0.1,7596.2,3.6,1.6,102.5,0.0,9.3,0.28
경기도 광명시,다사418376,"POLYGON ((126.84212222297795 37.4357372987696, 126.84211433330283 37.4366386156228, 126.84324465305403 37.43664490158556, 126.84325252917621 37.435743584528794, 126.84212222297795 37.4357372987696))",광명시흥 공공주택지구,0.0,0.14233182351276838,0.8541132932318419,0.0,0.0,0.0035548832553897658,0.0,0.0,214.9,1.1,363.1,4.3,1.8,533.7,0.0,4.89,1.39
경기도 광명시,다사419377,"POLYGON ((126.84324465305403 37.43664490158556, 126.84323677658112 37.43754621850314, 126.84436711023666 37.43755249386123, 126.84437497315601 37.436651176740426, 126.84324465305403 37.43664490158556))",광명시흥 공공주택지구,0.0,0.0,0.8877029044406931,0.0,0.0,0.11229709555930693,0.0,0.0,230.1,1.2,15876.4,5.2,3.1,243.9,0.0,26.49,0.65
경기도 광명시,다사418377,"POLYGON ((126.84211433330283 37.4366386156228, 126.84210644327632 37.43753993233678, 126.84323677658112 37.43754621850314, 126.84324465305403 37.43664490158556, 126.84211433330283 37.4366386156228))",광명시흥 공공주택지구,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,288.3,1.3,0.0,5.2,1.9,239.2,0.0,17.57,0.64
경기도 광명시,다사425370,"POLYGON ((126.85008113524619 37.43037315957697, 126.85007334252447 37.431274478682894, 126.85120358340893 37.431280687783406, 126.8512113625812 37.43037936847639, 126.85008113524619 37.43037315957697))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사424370,"POLYGON ((126.84895090825817 37.43036693987204, 126.84894310198705 37.431268258776505, 126.85007334252447 37.431274478682894, 126.85008113524619 37.43037315957697, 126.84895090825817 37.43036693987204))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사424369,"POLYGON ((126.84895871418168 37.42946562082842, 126.84895090825817 37.43036693987204, 126.85008113524619 37.43037315957697, 126.85008892762085 37.42947184033189, 126.84895871418168 37.42946562082842))",광명시흥 공공주택지구,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.3,7819.5,0.0,26.8,20.12
경기도 광명시,다사423370,"POLYGON ((126.84782068161778 37.43036070936161, 126.84781286179724 37.43126202806427, 126.84894310198705 37.431268258776505, 126.84895090825817 37.43036693987204, 126.84782068161778 37.43036070936161))",광명시흥 공공주택지구,0.0,0.4248153281782643,0.5751846718217357,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.4,1.4,1552.2,0.0,5.2,4.01
