year,adm_cd,adm_nm,cnt
2019,33041310,낭성면,947
2019,33041320,미원면,2261
2019,33041330,가덕면,1659
2019,33041340,남일면,2686
2019,33041350,문의면,1644
2019,33041510,중앙동,2498
2019,33041520,성안동,3130
2019,33041530,탑·대성동,3743
2019,33041540,영운동,4703
2019,33041550,금천동,11037
2019,33041560,용담·명암·산성동,4560
2019,33041570,용암1동,16008
2019,33041580,용암2동,11293
2019,33042310,남이면,3909
2019,33042320,현도면,1383
2019,33042510,사직1동,3393
2019,33042520,사직2동,5273
2019,33042530,사창동,7991
2019,33042540,모충동,7840
2019,33042550,산남동,10008
2019,33042560,분평동,11359
2019,33042570,수곡1동,6496
2019,33042580,수곡2동,6211
2019,33042590,성화·개신·죽림동,19880
2019,33043110,오송읍,9077
2019,33043310,강내면,4496
2019,33043320,옥산면,6201
2019,33043510,운천·신봉동,7015
2019,33043520,복대1동,18987
2019,33043530,복대2동,8131
2019,33043540,가경동,18422
2019,33043550,봉명1동,5497
2019,33043560,봉명2·송정동,11089
2019,33043570,강서1동,11781
2019,33043580,강서2동,4419
2019,33044110,내수읍,7983
2019,33044120,오창읍,27080
2019,33044310,북이면,1944
2019,33044510,오근장동,6747
2019,33044520,우암동,6236
2019,33044530,내덕1동,4059
2019,33044540,내덕2동,6272
2019,33044550,율량·사천동,19083
2020,33041310,낭성면,990
2020,33041320,미원면,2253
2020,33041330,가덕면,1651
2020,33041340,남일면,2651
2020,33041350,문의면,1661
2020,33041510,중앙동,2516
2020,33041520,성안동,3187
2020,33041530,탑·대성동,3660
2020,33041540,영운동,4637
2020,33041550,금천동,10973
2020,33041560,용담·명암·산성동,4526
2020,33041570,용암1동,20286
2020,33041580,용암2동,13122
2020,33042310,남이면,3984
2020,33042320,현도면,1386
2020,33042510,사직1동,3328
2020,33042520,사직2동,5308
2020,33042530,사창동,8346
2020,33042540,모충동,7826
2020,33042550,산남동,10437
2020,33042560,분평동,11293
2020,33042570,수곡1동,6607
2020,33042580,수곡2동,6236
2020,33042590,성화·개신·죽림동,19861
2020,33043110,오송읍,10487
2020,33043310,강내면,4798
2020,33043320,옥산면,6964
2020,33043510,운천·신봉동,6958
2020,33043520,복대1동,19815
2020,33043530,복대2동,8233
2020,33043540,가경동,19048
2020,33043550,봉명1동,5373
2020,33043560,봉명2·송정동,11272
2020,33043570,강서1동,13145
2020,33043580,강서2동,4819
2020,33044110,내수읍,7755
2020,33044120,오창읍,27824
2020,33044310,북이면,1982
2020,33044510,오근장동,6834
2020,33044520,우암동,6171
2020,33044530,내덕1동,4090
2020,33044540,내덕2동,6770
2020,33044550,율량·사천동,19265
2021,33041310,낭성면,986
2021,33041320,미원면,2264
2021,33041330,가덕면,1658
2021,33041340,남일면,2725
2021,33041350,문의면,1656
2021,33041510,중앙동,3081
2021,33041520,성안동,3252
2021,33041530,탑·대성동,3676
2021,33041540,영운동,4761
2021,33041550,금천동,11895
2021,33041560,용담·명암·산성동,4573
2021,33041570,용암1동,21211
2021,33041580,용암2동,14969
2021,33042310,남이면,4027
2021,33042320,현도면,1381
2021,33042510,사직1동,3046
2021,33042520,사직2동,5218
2021,33042530,사창동,7747
2021,33042540,모충동,7757
2021,33042550,산남동,10048
2021,33042560,분평동,11468
2021,33042570,수곡1동,6565
2021,33042580,수곡2동,7308
2021,33042590,성화·개신·죽림동,18582
2021,33043110,오송읍,11335
2021,33043310,강내면,4774
2021,33043320,옥산면,7037
2021,33043510,운천·신봉동,7112
2021,33043520,복대1동,20140
2021,33043530,복대2동,8448
2021,33043540,가경동,21143
2021,33043550,봉명1동,5510
2021,33043560,봉명2·송정동,11539
2021,33043570,강서1동,13426
2021,33043580,강서2동,4974
2021,33044110,내수읍,8025
2021,33044120,오창읍,28979
2021,33044310,북이면,1984
2021,33044510,오근장동,6937
2021,33044520,우암동,6381
2021,33044530,내덕1동,4170
2021,33044540,내덕2동,7288
2021,33044550,율량·사천동,19776
2022,33041310,낭성면,1002
2022,33041320,미원면,2268
2022,33041330,가덕면,1677
2022,33041340,남일면,2773
2022,33041350,문의면,1677
2022,33041510,중앙동,3059
2022,33041520,성안동,3274
2022,33041530,탑·대성동,3650
2022,33041540,영운동,4810
2022,33041550,금천동,11889
2022,33041560,용담·명암·산성동,4579
2022,33041570,용암1동,23198
2022,33041580,용암2동,15586
2022,33042310,남이면,4083
2022,33042320,현도면,1374
2022,33042510,사직1동,2603
2022,33042520,사직2동,5034
2022,33042530,사창동,7951
2022,33042540,모충동,9320
2022,33042550,산남동,10097
2022,33042560,분평동,11483
2022,33042570,수곡1동,6526
2022,33042580,수곡2동,7260
2022,33042590,성화·개신·죽림동,18885
2022,33043110,오송읍,12074
2022,33043310,강내면,4699
2022,33043320,옥산면,7018
2022,33043510,운천·신봉동,7086
2022,33043520,복대1동,19944
2022,33043530,복대2동,8769
2022,33043540,가경동,21552
2022,33043550,봉명1동,5444
2022,33043560,봉명2·송정동,11247
2022,33043570,강서1동,13573
2022,33043580,강서2동,5863
2022,33044110,내수읍,8108
2022,33044120,오창읍,28916
2022,33044310,북이면,1965
2022,33044510,오근장동,6949
2022,33044520,우암동,6627
2022,33044530,내덕1동,4062
2022,33044540,내덕2동,7168
2022,33044550,율량·사천동,20761
