year,adm_cd,adm_nm,bn_cd,bn_nm,cnt
2019,33041310,낭성면,cp_bnu_003,제조업,24
2019,33041310,낭성면,cp_bnu_006,건설업,10
2019,33041310,낭성면,cp_bnu_007,도매 및 소매업,37
2019,33041310,낭성면,cp_bnu_009,숙박 및 음식점업,59
2019,33041310,낭성면,cp_bnu_017,보건업 및 사회복지 서비스업,8
2019,33041310,낭성면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",5
2019,33041310,낭성면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",18
2019,33041320,미원면,cp_bnu_001,"농업, 임업 및 어업",7
2019,33041320,미원면,cp_bnu_003,제조업,43
2019,33041320,미원면,cp_bnu_006,건설업,19
2019,33041320,미원면,cp_bnu_007,도매 및 소매업,96
2019,33041320,미원면,cp_bnu_008,운수 및 창고업,8
2019,33041320,미원면,cp_bnu_009,숙박 및 음식점업,133
2019,33041320,미원면,cp_bnu_012,부동산업,8
2019,33041320,미원면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",5
2019,33041320,미원면,cp_bnu_016,교육 서비스업,8
2019,33041320,미원면,cp_bnu_017,보건업 및 사회복지 서비스업,26
2019,33041320,미원면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",9
2019,33041320,미원면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",54
2019,33041330,가덕면,cp_bnu_003,제조업,71
2019,33041330,가덕면,cp_bnu_006,건설업,17
2019,33041330,가덕면,cp_bnu_007,도매 및 소매업,46
2019,33041330,가덕면,cp_bnu_008,운수 및 창고업,6
2019,33041330,가덕면,cp_bnu_009,숙박 및 음식점업,36
2019,33041330,가덕면,cp_bnu_016,교육 서비스업,12
2019,33041330,가덕면,cp_bnu_017,보건업 및 사회복지 서비스업,9
2019,33041330,가덕면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",33
2019,33041340,남일면,cp_bnu_003,제조업,56
2019,33041340,남일면,cp_bnu_006,건설업,81
2019,33041340,남일면,cp_bnu_007,도매 및 소매업,133
2019,33041340,남일면,cp_bnu_008,운수 및 창고업,6
2019,33041340,남일면,cp_bnu_009,숙박 및 음식점업,96
2019,33041340,남일면,cp_bnu_012,부동산업,16
2019,33041340,남일면,cp_bnu_013,"전문, 과학 및 기술 서비스업",10
2019,33041340,남일면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",15
2019,33041340,남일면,cp_bnu_015,"공공행정, 국방 및 사회보장 행정",7
2019,33041340,남일면,cp_bnu_016,교육 서비스업,9
2019,33041340,남일면,cp_bnu_017,보건업 및 사회복지 서비스업,19
2019,33041340,남일면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",8
2019,33041340,남일면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",52
2019,33041350,문의면,cp_bnu_003,제조업,24
2019,33041350,문의면,cp_bnu_006,건설업,10
2019,33041350,문의면,cp_bnu_007,도매 및 소매업,60
2019,33041350,문의면,cp_bnu_009,숙박 및 음식점업,92
2019,33041350,문의면,cp_bnu_012,부동산업,5
2019,33041350,문의면,cp_bnu_014,"사업시설관리, 사업지원 및 임대 서비스업",6
2019,33041350,문의면,cp_bnu_016,교육 서비스업,10
2019,33041350,문의면,cp_bnu_017,보건업 및 사회복지 서비스업,11
2019,33041350,문의면,cp_bnu_018,"예술, 스포츠 및 여가관련 서비스업",6
2019,33041350,문의면,cp_bnu_019,"협회 및 단체, 수리 및 기타 개인 서비스업",25
2019,33041510,중앙동,cp_bnu_003,제조업,111
2019,33041510,중앙동,cp_bnu_006,건설업,57
2019,33041510,중앙동,cp_bnu_007,도매 및 소매업,380
2019,33041510,중앙동,cp_bnu_008,운수 및 창고업,8
2019,33041510,중앙동,cp_bnu_009,숙박 및 음식점업,325
2019,33041510,중앙동,cp_bnu_010,정보통신업,20
2019,33041510,중앙동,cp_bnu_011,금융 및 보험업,65
2019,33041510,중앙동,cp_bnu_012,부동산업,22
